School District Name,Incident Years,Website,Address,Address : Street 1,Address : Street 2,Address : City,Address : State,Address : Zip,Address : Latitude,Address : Longitude,State,Count,Locale Code,Community Type,NCES District ID,Total Students,Enrollment Size,Total Schools,Total Staff (FTE),Percent in Poverty,Poverty Status,Region,District Type
Hendry County District Schools,2019,https://www.hendry-schools.org/,"25 E. Hickpochee Ave. LaBelle, FL 33935",25 E. Hickpochee Ave.,,LaBelle,FL,33935,26.7614,-81.4379,FL,1,Town - Remote (33),C - Town,1200780,"7,398","C - 2,500 - 9,999",19,836,33.94%,D - 30 percent or more,B - Southeast,Regular LEA
Henry County Schools,2020,https://schoolwires.henry.k12.ga.us/,"33 N. Zack Hinton Pkwy. McDonough, GA 30253",33 N. Zack Hinton Pkwy.,,McDonough,GA,30253,33.44885,-84.13716,GA,1,Rural - Fringe (41),D - Rural,1302820,"42,621","E - 25,000 - 99,999",50,,11.55%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Herkimer-Fulton-Hamilton-Ostsego BOCES,2019,https://www.herkimer-boces.org,"352 Gros Blvd Herkimer, NY 13350",352 Gros Blvd,,Herkimer,NY,13350,43.03866,-74.96394,NY,1,Rural - Fringe (41),D - Rural,3680420,,G - N/A,1,192.05,21.62%,C - 20 to 29.99 percent,A - Northeast,Special LEA
Highland Central School District,,https://www.highland-k12.org/,"320 Pancake Hollow Road Highland, NY 12528",320 Pancake Hollow Road,,Highland,NY,12528,41.72471,-74.01434,NY,1,Suburb - Large (21),B - Suburban,3614400,"1,729","B - 1,000 - 2,499",3,258.75,11.06%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Hilliard City Schools,2017,https://www.hilliardschools.org/,"2140 Atlas Street Columbus, OH 43228",2140 Atlas Street,,Columbus,OH,43228,39.99423,-83.14253,OH,1,Suburb - Large (21),B - Suburban,3904701,"15,910","D - 10,000 - 24,999",23,"2,702.34",7.87%,A - Less than 10 percent,C - Central,Regular LEA
Hillsboro R-3 School District,2020,https://www.hsdr3.org/,"5 Ridgewood Dr  Hillsboro, MO 63050 ",5 Ridgewood Dr ,,Hillsboro,MO,63050,38.22545,-90.5709,MO,1,Rural - Fringe (41),D - Rural,2914430,"3,427","C - 2,500 - 9,999",6,325,7.96%,A - Less than 10 percent,C - Central,Regular LEA
Hillsborough County Public Schools,2020,https://www.sdhc.k12.fl.us/,"901 East Kennedy Boulevard Tampa, FL  33602",901 East Kennedy Boulevard,,Tampa,FL,33602,27.94927,-82.45214,FL,1,Suburb - Large (21),B - Suburban,1200870,"220,252","F - 100,000 or more",300,,17.98%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Hinsdale School District,2019,http://www.hnhsd.org/,"49 School Street Hinsdale, NH 03451",49 School Street,,Hinsdale,NH,3451,42.7818,-72.49926,NH,1,Rural - Distant (42),D - Rural,3303780,536,"A - Less than 1,000",3,138.5,7.17%,A - Less than 10 percent,A - Northeast,Regular LEA
Hinsdale Township High School District 86,2019,https://d86.hinsdale86.org/home,"5500 South Grant Street Hinsdale, IL 60521",5500 South Grant Street,,Hinsdale,IL,60521,41.789,-87.93195,IL,1,Suburb - Large (21),B - Suburban,1719320,"4,358","C - 2,500 - 9,999",3,691.63,5.28%,A - Less than 10 percent,C - Central,Regular LEA
Hobbs Municipal Schools,2017,http://hobbsschools.net/,"1515 East Sanger Street Hobbs, NM 88240",1515 East Sanger Street,,Hobbs,NM,88240,32.71105,-103.1174,NM,1,Town - Remote (33),C - Town,3501260,"9,826","C - 2,500 - 9,999",18,945.03,26.40%,C - 20 to 29.99 percent,D - West,Regular LEA
Holley Central School District,2016,http://www.holleycsd.org/,"3800 North Main Street Holley, NY 14470",3800 North Main Street,,Holley,NY,14470,43.2296675,-78.0263749,NY,1,Town - Fringe (31),C - Town,3614610,"1,094","B - 1,000 - 2,499",2,206.96,16.80%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Homer Central School District,"2018, 2019",http://homercentral.org/,"80 South West Road Homer, NY 13077",80 South West Road,,Homer,NY,13077,42.69734,-76.18201,NY,2,Town - Distant (32),C - Town,3614640,"2,023","B - 1,000 - 2,499",4,344.99,15.14%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Honeoye Falls-Lima Central School District,2018,http://hflcsd.org/,"20 Church Street Honeoye Falls, NY 14472",20 Church Street,,Honeoye Falls,NY,14472,42.9507038,-77.5887775,NY,1,Town - Fringe (31),C - Town,3614700,"2,237","B - 1,000 - 2,499",4,415.27,9.04%,A - Less than 10 percent,A - Northeast,Regular LEA
Hoopeston Area School District #11,2018,https://www.hoopeston.k12.il.us/o/cusd-11,"615 East Orange Street Hoopeston, IL 60942",615 East Orange Street,,Hoopeston,IL,60942,40.45902,-87.66322,IL,1,Town - Distant (32),C - Town,1719660,"1,289","B - 1,000 - 2,499",4,209.84,25.12%,C - 20 to 29.99 percent,C - Central,Regular LEA
Hopkins County Schools,2019,https://www.hopkins.kyschools.us/Page/9,"320 South Seminary Street Madisonville, KY 42431",320 South Seminary Street,,Madisonville,KY,42431,37.32374,-87.50212,KY,1,Town - Distant (32),C - Town,2102860,"6,888","C - 2,500 - 9,999",19,"1,021.00",21.39%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Horry County Schools,"2016, 2020",https://www.horrycountyschools.net/,"335 Four Mile Road Conway, SC 29526",335 Four Mile Road,,Conway,SC,29526,33.87807,-79.09894,SC,2,Suburb - Midsize (22),B - Suburban,4502490,"43,188","E - 25,000 - 99,999",56,"4,383.30",26.18%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Houston County School District ,2019,http://www.hcbe.net/,"1100 Main Street Perry, GA 31069",1100 Main Street,,Perry,GA,31069,32.45835,-83.72849,GA,1,City - Small (13),A - City,1302880,"29,003","E - 25,000 - 99,999",37,"3,995.00",18.94%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Houston County Schools,2019,https://www.hcboe.us/Page/1,"404 West Washington St Dothan, AL 36301",404 West Washington St,,Dothan,AL,36301,31.221,-85.39669,AL,1,Rural - Fringe (41),D - Rural,101770,"6,319","C - 2,500 - 9,999",12,711,20.69%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Houston Independent School District,2020,https://www.houstonisd.org/,"4400 West 18th St. Houston, TX 77092",4400 West 18th St.,,Houston,TX,77092,29.80287,-95.4556,TX,1,City - Large (11),A - City,4823640,"209,772","F - 100,000 or more",280,"25,183.24",30.74%,D - 30 percent or more,D - West,Regular LEA
Howard County Public School System,2020,https://www.hcpss.org/,"10910 Clarksville Pike Ellicott City, MD 21042",10910 Clarksville Pike,,Ellicott City,MD,21042,39.23626,-76.89003,MD,1,Suburb - Large (21),B - Suburban,2400420,"57,907","E - 25,000 - 99,999",77,"8,331.24",5.69%,A - Less than 10 percent,A - Northeast,Regular LEA
Hudson City School District,2016,http://www.hudsoncityschooldistrict.com/,"215 Harry Howard Avenue Hudson, NY 12534",215 Harry Howard Avenue,,Hudson,NY,12534,42.2583608,-73.7728131,NY,1,Town - Distant (32),C - Town,3614940,"1,850","B - 1,000 - 2,499",4,371.57,20.96%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Hudson Independent School District,2020,https://hudsonisd.org/,"6735 Ted Trout Dr Lufkin, TX 75904",6735 Ted Trout Dr,,Lufkin,TX,75904,31.31586,-94.83001,TX,1,Town - Remote (33),C - Town,4823790,"2,959","C - 2,500 - 9,999",5,396.89,19.99%,B - 10 to 19.99 percent,D - West,Regular LEA
Hulbert Public Schools,2018,https://www.hulbertriders.com/,"316 Rider Lane Hulbert, OK 74441",316 Rider Lane,,Hulbert,OK,74441,35.93232,-95.14503,OK,1,Rural - Distant (42),D - Rural,4015240,603,"A - Less than 1,000",3,100,20.32%,C - 20 to 29.99 percent,D - West,Regular LEA
Humble Independent School DIstrict,2020,https://www.humbleisd.net/,"10203 Birchridge Drive Humble, TX 77338",10203 Birchridge Drive,,Humble,TX,77338,30.0131,-95.26858,TX,1,Suburb - Large (21),B - Suburban,4823910,"43,553","E - 25,000 - 99,999",48,,11.20%,B - 10 to 19.99 percent,D - West,Regular LEA
Huntington Beach Union High School District,2020,https://www.hbuhsd.edu/,"5832 Bolsa Avenue Huntington Beach, CA 92649",5832 Bolsa Avenue,,Huntington Beach,CA,92649,33.74366,-118.02706,CA,1,Suburb - Large (21),B - Suburban,618060,"16,188","D - 10,000 - 24,999",8,"1,219.12",10.06%,B - 10 to 19.99 percent,D - West,Regular LEA
Huntsville City Schools,2020,https://www.huntsvillecityschools.org/,"200 White Street Huntsville, AL 35801",200 White Street,,Huntsville,AL,35801,34.73415,-86.57773,AL,1,City - Midsize (12),A - City,101800,"23,993","D - 10,000 - 24,999",46,"2,168.51",20.39%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Iberia Parish School District,2017,https://iberia.k12.la.us/,"1500 Jane Street New Iberia, LA 70563",1500 Jane Street,,New Iberia,LA,70563,30.02471,-91.82338,LA,1,Suburb - Large (21),B - Suburban,2200720,"13,700","D - 10,000 - 24,999",25,"1,598.67",31.93%,D - 30 percent or more,B - Southeast,Regular LEA
Idaho Falls School District 91,2018,http://www.d91.k12.id.us/,"690 John Adams Parkway Idaho Falls, ID 83401",690 John Adams Parkway,,Idaho Falls,ID,83401,43.49358,-112.01902,ID,1,City - Small (13),A - City,1601530,"10,362","D - 10,000 - 24,999",19,899.37,15.78%,B - 10 to 19.99 percent,D - West,Regular LEA
Independence School District,2017,https://www.isdschools.org/,"201 North Forest Avenue Independence, MO 64050",201 North Forest Avenue,,Independence,MO,64050,39.09355,-94.43535,MO,1,Suburb - Large (21),B - Suburban,2915480,"15,083","D - 10,000 - 24,999",30,"2,403.80",24.38%,C - 20 to 29.99 percent,C - Central,Regular LEA
Indian Creek School District #425,2019,https://www.indiancreekschools.org/,"506 S. Shabbona Rd Shabbona, IL 60550",506 S. Shabbona Rd,,Shabbona,IL,60550,41.76355,-88.87537,IL,1,Rural - Distant (42),D - Rural,1735970,681,"A - Less than 1,000",3,,12.25%,B - 10 to 19.99 percent,C - Central,Regular LEA
Indian Prairie School District 204,2019,http://www.ipsd.org/,"780 Shoreline Drive Aurora, IL 60504",780 Shoreline Drive,,Aurora,IL,60504,41.74366,-88.22415,IL,1,City - Midsize (12),A - City,1741690,"28,071","E - 25,000 - 99,999",33,"2,906.55",4.35%,A - Less than 10 percent,C - Central,Regular LEA
Indianola Community School District,2020,https://www.indianola.k12.ia.us/,"1301 East Second Avenue Indianola, IA 50125",1301 East Second Avenue,,Indianola,IA,50125,41.35794,-93.54548,IA,1,Town - Fringe (31),C - Town,1914640,"3,675","C - 2,500 - 9,999",6,437.81,7.80%,A - Less than 10 percent,C - Central,Regular LEA
Ingham Intermediate School District,2018,https://inghamisd.org/,"2630 West Howell Road Mason, MI 48854",2630 West Howell Road,,Mason,MI,48854,42.59931,-84.44882,MI,1,,E - N/A,2680520,,G - N/A,,,,E - N/A,C - Central,Special LEA
Inglewood Unified School District,2020,https://www.inglewoodusd.com/,"401 South Inglewood Avenue Inglewood, CA 90301",401 South Inglewood Avenue,,Inglewood,CA,90301,33.95871,-118.36183,CA,1,Suburb - Large (21),B - Suburban,618390,"8,755","C - 2,500 - 9,999",17,949.21,20.92%,C - 20 to 29.99 percent,D - West,Regular LEA
Iowa City Community School District,2020,https://www.iowacityschools.org/,"1725 North Dodge St. Iowa City, IA 52245",1725 North Dodge St.,,Iowa City,IA,52245,41.67918,-91.50963,IA,1,City - Small (13),A - City,1914700,"14,560","D - 10,000 - 24,999",28,"2,157.27",15.15%,B - 10 to 19.99 percent,C - Central,Regular LEA
Iredell-Statesville Schools,2020,https://www.issnc.org/,"549 N. Race Street Statesville, NC 28677",549 N. Race Street,,Statesville,NC,28677,35.79027,-80.90066,NC,1,Suburb - Large (21),B - Suburban,3702310,"20,585","D - 10,000 - 24,999",36,"2,370.36",12.92%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Iroquois Central School District ,2016,http://www.iroquoiscsd.org/,"2111 Girdle Road Elma, NY 14059",2111 Girdle Road,,Elma,NY,14059,42.83341,-78.60276,NY,1,Rural - Fringe (41),D - Rural,3615360,"2,314","B - 1,000 - 2,499",6,440.24,5.16%,A - Less than 10 percent,A - Northeast,Regular LEA
Irvington Pubic Schools,2018,https://irvington.k12.nj.us/,"1 University Place Irvington, NJ 07111",1 University Place,,Irvington,NJ,7111,40.736262,-74.2224233,NJ,1,Suburb - Large (21),B - Suburban,3407680,"7,565","C - 2,500 - 9,999",12,"1,591.50",29.94%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Issaquah School District 411,2019,,"5150 220th Ave SE Issaquah, WA 98029",5150 220th Ave SE,,Issaquah,WA,98029,47.55464,-122.04732,WA,1,Suburb - Large (21),B - Suburban,5303750,"20,930","D - 10,000 - 24,999",27,,4.59%,A - Less than 10 percent,D - West,Regular LEA
J. Sterling Morton High School District 201,2017,https://www.morton201.org/,"5801 West Cermak Road Cicero, IL 60804",5801 West Cermak Road,,Cicero,IL,60804,41.85056,-87.76916,IL,1,Suburb - Large (21),B - Suburban,1726880,"8,290","C - 2,500 - 9,999",4,515.14,20.71%,C - 20 to 29.99 percent,C - Central,Regular LEA
Jackson County Central School District,2017,http://www.jccschools.com/,"1128 North Highway Jackson, MN 56143",1128 North Highway,,Jackson,MN,56143,43.62411,-94.99859,MN,1,Town - Remote (33),C - Town,2700231,"1,184","B - 1,000 - 2,499",4,177.91,11.42%,B - 10 to 19.99 percent,C - Central,Regular LEA
Jackson County School District,2019,https://www.jcsb.org/,"2903 Jefferson Street Marianna, FL 32446",2903 Jefferson Street,,Marianna,FL,32446,30.77639,-85.2272,FL,1,Rural - Distant (42),D - Rural,1200960,"6,738","C - 2,500 - 9,999",22,995.5,23.50%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Jackson Public Schools,2020,https://www.jackson.k12.ms.us/,"662 S. President Street Jackson, MS 39201",662 S. President Street,,Jackson,MS,39201,32.29147,-90.18282,MS,1,City - Midsize (12),A - City,2802190,"25,595","E - 25,000 - 99,999",58,"4,337.16",33.69%,D - 30 percent or more,B - Southeast,Regular LEA
Jamesville-Dewitt Central School District,"2019, 2020",http://www.jamesvilledewitt.org/,"6845 Edinger Dr Dewitt, NY 13214",6845 Edinger Dr,,Dewitt,NY,13214,43.01927,-76.04553,NY,2,Suburb - Large (21),B - Suburban,3609090,"2,917","C - 2,500 - 9,999",5,452.09,9.58%,A - Less than 10 percent,A - Northeast,Regular LEA
Jay Public Schools,2020,https://www.jay.k12.ok.us/,"821 N Main Jay, OK 74346",821 N Main,,Jay,OK,74346,36.4308495,-94.7826784,OK,1,Rural - Distant (42),C - Town,4015690,"1,664","B - 1,000 - 2,499",4,279.2,32.93%,D - 30 percent or more,D - West,Regular LEA
Jean Massieu Academy,2017,http://www.jeanmassieu.com/,"823 North Center Street Arlington, TX 76011",823 North Center Street,,Arlington,TX,76011,32.74737,-97.10611,TX,1,City - Large (11),A - City,4800098,195,"A - Less than 1,000",1,26.77,,E - N/A,D - West,Charter
Jefferson City Public Schools,2019,https://www.jcschools.us/,"315 East Dunklin Street Jefferson City, MO 65101",315 East Dunklin Street,,Jefferson City,MO,65101,38.57096,-92.17367,MO,1,City - Small (13),A - City,2916190,"8,968","C - 2,500 - 9,999",17,"1,283.90",15.24%,B - 10 to 19.99 percent,C - Central,Regular LEA
Jefferson County Public Schools,2020,https://www.jefferson.kyschools.us/,"3332 Newburg Road Louisville, KY 40218",3332 Newburg Road,,Louisville,KY,40218,38.19979,-85.68558,KY,1,City - Large (11),A - City,2102990,"97,936","E - 25,000 - 99,999",170,"14,737.11",21.33%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Jefferson County School District,2018,http://www.jcpsd.net/," 942 Main Street Fayette, MS 39069", 942 Main Street,,Fayette,MS,39069,31.7058121,-91.0670886,MS,1,Rural - Remote (43),D - Rural,2802220,"1,290","B - 1,000 - 2,499",6,211.93,45.93%,D - 30 percent or more,B - Southeast,Regular LEA
Jefferson County School District NO. R-1 |  Jeffco Public Schools,2020,https://www.jeffcopublicschools.org/,"1829 Denver West Drive  Golden, CO 80401",1829 Denver West Drive ,,Golden,CO,80401,39.73848,-105.16355,CO,1,Suburb - Large (21),B - Suburban,804800,"84,646","E - 25,000 - 99,999",165,"10,622.08",7.57%,A - Less than 10 percent,D - West,Regular LEA
Jefferson County Schools,2018,http://www.jc-schools.net/,"1030 TN HWY. 92 Dandridge, TN 37725",1030 TN HWY. 92,,Dandridge,TN,37725,36.01784,-83.42292,TN,1,Rural - Fringe (41),D - Rural,4702100,"7,449","C - 2,500 - 9,999",11,"1,012.80",22.14%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Jefferson Parish Schools,2020,https://www.jpschools.org/,"501 Manhattan Blvd Harvey, LA 70058",501 Manhattan Blvd,,Harvey,LA,70058,29.90877,-90.06858,LA,1,Suburb - Large (21),B - Suburban,2200840,"48,254","E - 25,000 - 99,999",84,"5,376.24",22.72%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
Jersey City Public Schools,2019,http://www.jcboe.org/boe2015/,"346 Claremont Ave. Jersey City, NJ 07305",346 Claremont Ave.,,Jersey City,NJ,7305,40.71399,-74.08723,NJ,2,City - Large (11),A - City,3407830,"29,659","E - 25,000 - 99,999",39,"4,537.00",23.81%,C - 20 to 29.99 percent,A - Northeast,Regular LEA
Jessamine County Schools,2019,https://www.jessamine.k12.ky.us/,"871 Wilmore Road  Nicholasville, KY 40356",871 Wilmore Road ,,Nicholasville,KY,40356,37.88288,-84.59204,KY,1,Town - Fringe (31),C - Town,2103030,"8,262","C - 2,500 - 9,999",14,"1,201.37",17.20%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Jim Thorpe Area School District,2019,http://www.jimthorpesd.org/,"410 Center Avenue Jim Thorpe, PA 18229",410 Center Avenue,,Jim Thorpe,PA,18229,40.8672403,-75.7441719,PA,1,Town - Fringe (31),C - Town,4212540,"2,041","B - 1,000 - 2,499",3,279.27,11.37%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Johannesburg-Lewiston Area Schools,2018,http://www.jlas.org/,"10854 M-32 East Johannesburg, MI 49751",10854 M-32 East,,Johannesburg,MI,49751,44.98096,-84.45389,MI,1,Rural - Distant (42),D - Rural,2619890,723,"A - Less than 1,000",3,81.22,20.31%,C - 20 to 29.99 percent,C - Central,Regular LEA
Johnsonburg Area School District,2019,https://www.johnsonburgareaschooldistrict.net/,"315 High School Road Johnsonburg, PA 15845",315 High School Road,,Johnsonburg,PA,15845,41.50785,-78.68378,PA,1,Rural - Distant (42),D - Rural,4212570,592,"A - Less than 1,000",2,98,16.12%,B - 10 to 19.99 percent,A - Northeast,Regular LEA
Johnston Community School District ,2017,,"5608 Merle Hay Road Johnston, IA 50131",5608 Merle Hay Road,,Johnston,IA,50131,41.66274,-93.69834,IA,1,Suburb - Large (21),B - Suburban,1915450,"7,021","C - 2,500 - 9,999",8,821.74,5.47%,A - Less than 10 percent,C - Central,Regular LEA
Johnston County Public Schools,"2018, 2020",https://www.johnston.k12.nc.us/,"2320 US 70 Business Hwy East Smithfield, NC 27577",2320 US 70 Business Hwy East,,Smithfield,NC,27577,35.4947184,-78.2761003,NC,2,Rural - Fringe (41),D - Rural,3702370,"34,857","E - 25,000 - 99,999",46,"3,901.23",17.47%,B - 10 to 19.99 percent,B - Southeast,Regular LEA
Joint Jerome School School District #261,2017,http://jeromeschools.org/index.php,"125 4th Avenue West Jerome, ID 83338",125 4th Avenue West,,Jerome,ID,83338,42.7274,-114.51953,ID,1,Town - Remote (33),C - Town,1601590,"3,847","C - 2,500 - 9,999",7,379.2,19.46%,B - 10 to 19.99 percent,D - West,Regular LEA
Joint School District 171,2018,http://www.sd171.k12.id.us/,"1051 Michigan Ave Orofino, ID 83544",1051 Michigan Ave,,Orofino,ID,83544,46.48313,-116.24369,ID,1,Town - Distant (32),C - Town,1602520,"1,067","B - 1,000 - 2,499",8,201.12,19.15%,B - 10 to 19.99 percent,D - West,Regular LEA
Joliet Public Schools District 86,2019,https://www.joliet86.org/,"420 N Raynor Ave Joliet, IL 60435",420 N Raynor Ave,,Joliet,IL,60435,41.53197,-88.10074,IL,1,Suburb - Large (21),B - Suburban,1720580,"11,541","D - 10,000 - 24,999",22,"1,203.20",21.94%,C - 20 to 29.99 percent,C - Central,Regular LEA
Joliet Township High School District 204,"2019, 2020",https://www.jths.org/,"300 Caterpillar Drive Joliet, IL 60436",300 Caterpillar Drive,,Joliet,IL,60436,41.51557,-88.14524,IL,2,Suburb - Large (21),B - Suburban,1720610,"6,584","C - 2,500 - 9,999",4,"1,014.46",14.16%,B - 10 to 19.99 percent,C - Central,Regular LEA
Kamaile Academy,2019,http://www.kamaile-academy.org/,"85-180 Ala Akau St Waianae, HI 96792",85-180 Ala Akau St,,Waianae,HI,96792,21.45708,-158.1954,HI,1,Rural - Fringe (41),D - Rural,1.50003E+11,891,"A - Less than 1,000",1,83,,E - N/A,D - West,Charter
Kanawha County Schools,2017,http://kcs.kana.k12.wv.us/,"200 Elizabeth Street Charleston, WV 25311",200 Elizabeth Street,,Charleston,WV,25311,38.34269,-81.61393,WV,1,Suburb - Midsize (22),B - Suburban,5400600,"27,346","E - 25,000 - 99,999",69,"3,711.92",20.45%,C - 20 to 29.99 percent,B - Southeast,Regular LEA
